G,W,L,W-L%,SRS,SOS,Tm.,Opp.,MP,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,ORB,TRB,AST,STL,BLK,TOV,PF
30,13,17,0.433,-2.8,0.9,2249,2133,1210,812,1800,0.451,211,613,0.344,414,573,0.723,307,972,471,264,71,379,617
32,14,18,0.438,2,2.12,2142,2146,1295,756,1636,0.462,261,733,0.356,369,511,0.722,213,946,491,184,127,391,544
33,22,11,0.667,4.25,-1.59,2463,2209,1330,844,1898,0.445,300,845,0.355,475,643,0.739,335,1178,443,199,87,370,529
37,31,6,0.838,23.18,9.64,3027,2526,1510,1023,2314,0.442,366,1093,0.335,615,848,0.725,484,1652,555,224,189,512,691
33,15,18,0.455,-10.78,-7.71,2297,2340,1336,823,1868,0.441,226,610,0.37,425,649,0.655,334,1079,419,264,133,498,624
31,8,23,0.258,-16.33,-6.3,1963,2252,1245,683,1821,0.375,185,605,0.306,412,584,0.705,387,1117,309,182,110,414,557
31,8,23,0.258,-14.36,-4.53,2086,2332,1245,726,1755,0.414,237,725,0.327,397,550,0.722,317,1033,363,178,51,414,576
32,18,14,0.563,-8.76,-5.82,2165,2259,1301,763,1868,0.408,164,554,0.296,475,659,0.721,384,1087,316,257,80,404,605
32,17,15,0.531,-8.25,-7.72,2093,2110,1300,785,1630,0.482,204,589,0.346,319,455,0.701,259,970,436,238,126,448,482
32,16,16,0.5,-1.5,-0.98,2248,2067,1290,819,1854,0.442,243,726,0.335,367,543,0.676,288,1142,417,204,146,352,442
35,28,7,0.8,19.08,8.34,2866,2490,1400,1023,2072,0.494,295,781,0.378,525,742,0.708,356,1376,662,213,110,468,593
36,23,13,0.639,11.29,8.17,2559,2447,1455,910,2163,0.421,274,851,0.322,465,675,0.689,395,1315,515,255,170,422,668
36,22,14,0.611,15.98,9.87,2666,2446,1445,961,2063,0.466,179,572,0.313,565,810,0.698,373,1272,462,302,182,458,694
33,13,20,0.394,-8.08,-3.32,2169,2232,1325,777,1799,0.432,209,593,0.352,406,600,0.677,325,1108,433,220,108,385,553
31,10,21,0.323,-13.01,-5.38,2074,2162,1250,701,1791,0.391,245,776,0.316,427,587,0.727,314,1071,396,250,86,473,611
33,17,16,0.515,-7.13,-7.58,2412,2322,1330,885,1853,0.478,252,718,0.351,390,570,0.684,280,1132,432,168,70,427,532
34,21,13,0.618,14.34,9.28,2474,2302,1365,875,1991,0.439,221,701,0.315,503,723,0.696,396,1231,479,263,172,414,655
31,9,22,0.29,-12.17,-2.6,2067,2241,1245,743,1790,0.415,222,690,0.322,359,495,0.725,312,972,387,220,94,364,525
32,20,12,0.625,-1.13,-3.43,2445,2292,1285,841,1785,0.471,240,651,0.369,523,759,0.689,337,1147,422,176,123,391,525
34,23,11,0.676,17.3,10.53,2619,2389,1365,880,1957,0.45,323,878,0.368,536,720,0.744,391,1155,483,223,82,413,590
33,15,18,0.455,-7.41,-1.35,2187,2216,1330,797,1738,0.459,264,752,0.351,329,436,0.755,217,960,467,184,45,368,522
32,21,11,0.656,1.88,-1.92,2447,2299,1290,898,1902,0.472,307,791,0.388,344,474,0.726,267,1055,488,225,101,365,499
33,13,20,0.394,-16.84,-7.87,2232,2459,1325,793,1926,0.412,227,627,0.362,419,602,0.696,327,1066,371,236,97,420,575
31,13,18,0.419,-10.44,-5.51,2133,2217,1260,794,1763,0.45,172,533,0.323,373,523,0.713,301,1086,361,144,98,404,558
34,24,10,0.706,12.78,6.2,2451,2198,1375,878,1938,0.453,265,733,0.362,430,587,0.733,307,1215,385,171,97,379,555
33,16,17,0.485,1.09,4.73,2197,2317,1330,819,1873,0.437,188,590,0.319,371,512,0.725,308,1093,413,210,118,405,521
32,15,17,0.469,-8.1,-6.52,2147,2151,1300,761,1845,0.412,238,722,0.33,387,524,0.739,328,1136,335,205,79,384,561
31,11,20,0.355,-8.4,-3.74,2355,2434,1240,840,1859,0.452,224,658,0.34,451,622,0.725,326,1109,428,188,93,378,550
35,25,10,0.714,6.52,-0.66,2473,2195,1405,917,1989,0.461,276,777,0.355,363,546,0.665,341,1240,465,238,136,409,565
34,19,15,0.559,9.43,5.4,2568,2376,1365,913,2008,0.455,276,812,0.34,466,650,0.717,374,1272,501,251,135,481,659
27,14,13,0.519,-2.46,-2.69,1878,1872,1086,682,1557,0.438,216,622,0.347,298,464,0.642,241,942,372,194,87,361,438
30,17,13,0.567,-3.59,-4.52,2381,2193,1205,848,1821,0.466,243,714,0.34,442,602,0.734,318,1179,403,200,106,402,518
32,12,20,0.375,-9.93,-6.96,2161,2192,1290,797,1749,0.456,235,660,0.356,332,463,0.717,260,1084,429,176,121,427,498
32,15,17,0.469,-2.9,0.73,2481,2485,1285,906,2000,0.453,224,696,0.322,445,632,0.704,377,1208,470,254,102,452,602
32,14,18,0.438,5.85,8.54,2088,2174,1280,771,1767,0.436,207,633,0.327,339,459,0.739,207,958,403,216,138,378,429
33,8,25,0.242,-7.51,-0.54,2006,2174,1330,715,1733,0.413,181,615,0.294,395,531,0.744,281,1080,341,181,82,457,653
33,11,22,0.333,-8.35,-1.48,1995,2134,1340,732,1770,0.414,142,437,0.325,389,512,0.76,311,1055,355,205,100,424,621
33,20,13,0.606,1.73,-0.27,2283,2148,1360,779,1812,0.43,253,686,0.369,472,681,0.693,303,1108,340,214,85,391,590
32,7,25,0.219,-10.4,-1.74,2028,2194,1285,695,1735,0.401,184,575,0.32,454,612,0.742,313,1066,314,201,99,400,605
32,3,29,0.094,-3.36,8.42,1866,2243,1290,662,1694,0.391,156,524,0.298,386,534,0.723,278,1007,308,151,100,417,548
33,17,16,0.515,0.21,-0.69,2291,2156,1330,811,1898,0.427,276,837,0.33,393,592,0.664,362,1227,471,146,103,379,569
34,16,18,0.471,-5.23,-4.89,2374,2329,1385,830,1777,0.467,228,683,0.334,486,691,0.703,267,1066,416,212,97,404,554
30,10,20,0.333,-7.02,-3.44,2111,2169,1225,763,1809,0.422,255,734,0.347,328,448,0.732,313,1008,431,168,79,357,469
31,9,22,0.29,-13.71,-3.15,2261,2527,1255,818,1987,0.412,264,818,0.323,361,482,0.749,347,1128,384,202,98,413,508
32,10,22,0.313,-13.68,-9.49,2111,2245,1295,791,1874,0.422,219,669,0.327,310,437,0.709,324,1092,412,179,122,380,451
34,19,15,0.559,11.09,5.09,2432,2228,1395,848,1980,0.428,295,835,0.353,441,572,0.771,393,1190,469,261,129,452,566
31,10,21,0.323,-11.9,-2.56,2038,2263,1245,702,1688,0.416,191,637,0.3,443,642,0.69,343,1096,333,181,118,494,614
31,10,21,0.323,-9.43,-4.46,2251,2305,1245,819,1850,0.443,251,731,0.343,362,498,0.727,360,1091,373,157,81,365,562
36,22,14,0.611,3.84,-0.52,2410,2253,1465,885,1871,0.473,291,772,0.377,349,465,0.751,231,1066,469,199,90,382,489
35,18,17,0.514,-2.34,-3.34,2702,2523,1405,924,2042,0.452,398,1057,0.377,456,639,0.714,335,1268,536,200,121,407,552
31,11,20,0.355,-11.27,-3.49,2180,2264,1245,760,1757,0.433,256,755,0.339,404,555,0.728,365,1090,379,175,83,422,561
36,23,13,0.639,11.78,4.98,2776,2495,1450,1022,2281,0.448,314,894,0.351,418,592,0.706,403,1341,559,226,142,384,570
34,23,11,0.676,10.54,3.71,2540,2308,1370,899,1923,0.467,282,775,0.364,460,586,0.785,252,1196,485,175,107,376,589
35,21,14,0.6,-2.58,-5.04,2512,2405,1425,958,2110,0.454,178,580,0.307,418,614,0.681,438,1242,465,242,119,406,582
31,11,20,0.355,-8.93,-1.75,2273,2294,1250,816,1880,0.434,223,705,0.316,418,533,0.784,349,1153,383,188,99,379,497
35,26,9,0.743,2.21,-5.85,2733,2426,1400,1042,2038,0.511,286,709,0.403,363,549,0.661,279,1179,637,248,100,357,438
35,31,4,0.886,8.4,-4.01,2804,2353,1410,959,2202,0.436,348,1051,0.331,538,723,0.744,472,1411,478,259,109,418,590
35,18,17,0.514,11.16,8.39,2445,2348,1400,894,2059,0.434,229,712,0.322,428,616,0.695,388,1300,454,261,128,463,566
33,15,18,0.455,5.64,5.86,2391,2355,1336,873,1790,0.488,251,689,0.364,394,529,0.745,197,1014,545,187,81,368,537
29,7,22,0.241,-14.37,-2.37,1966,2197,1170,696,1728,0.403,226,714,0.317,348,487,0.715,296,998,340,196,58,401,485
39,31,8,0.795,22.95,8.51,3064,2501,1560,1082,2333,0.464,353,973,0.363,547,719,0.761,507,1534,684,245,190,503,692
32,9,23,0.281,-14.76,-3.6,2304,2661,1300,779,1790,0.435,268,793,0.338,478,665,0.719,206,973,361,246,81,477,629
28,17,11,0.607,0.63,-2.41,2287,2129,1125,816,1738,0.47,300,851,0.353,355,490,0.724,291,964,489,272,63,348,466
37,24,13,0.649,17.83,9.8,2828,2531,1490,1014,2164,0.469,319,902,0.354,481,614,0.783,306,1369,581,185,152,429,486
28,10,18,0.357,-7.98,-2.52,1998,2027,1135,719,1626,0.442,228,685,0.333,332,475,0.699,236,976,360,153,113,404,476
32,16,16,0.5,1.99,1.47,2236,2197,1295,785,1774,0.443,216,664,0.325,450,602,0.748,265,1054,420,172,41,347,485
34,22,12,0.647,8.71,1.1,2334,2075,1370,833,1784,0.467,225,665,0.338,443,634,0.699,321,1229,518,163,149,411,470
33,17,16,0.515,-5.56,-3.72,2298,2333,1330,816,1859,0.439,218,680,0.321,448,616,0.727,286,1069,389,228,131,374,540
30,6,24,0.2,-17.69,-4.94,1939,2265,1210,714,1725,0.414,171,542,0.315,340,494,0.688,336,1047,372,209,79,481,551
32,15,17,0.469,-9.55,-5.89,2325,2402,1300,835,1716,0.487,144,442,0.326,511,713,0.717,290,1126,363,177,98,479,544
33,10,23,0.303,2.9,9.02,2349,2551,1340,838,1961,0.427,273,742,0.368,400,541,0.739,305,1070,457,211,156,427,604
33,14,19,0.424,-3.2,-3.6,2527,2486,1330,876,2024,0.433,338,875,0.386,437,569,0.768,433,1212,413,202,64,390,529
35,27,8,0.771,7.85,-1.12,2617,2236,1430,952,2032,0.469,278,751,0.37,435,567,0.767,278,1250,478,187,92,368,522
32,17,15,0.531,-2.27,-5.43,2135,1997,1305,773,1794,0.431,229,725,0.316,360,527,0.683,330,1120,374,180,103,373,464
36,27,9,0.75,15.84,7.45,2592,2290,1445,936,2072,0.452,245,731,0.335,475,620,0.766,432,1392,526,204,163,432,549
33,20,13,0.606,3.48,-0.15,2472,2352,1322,897,2052,0.437,302,826,0.366,376,542,0.694,410,1177,505,266,124,395,614
